Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2023-02-07,0.22,0.23,0.23,0.24,0.23,0.89
AAPL,2023-02-08,0.23,0.23,0.23,0.23,0.22,0.68
AAPL,2023-02-09,0.23,0.23,0.23,0.22,0.22,0.59
AAPL,2023-02-10,0.21,0.22,0.22,0.22,0.22,0.6
AAPL,2023-02-13,0.22,0.23,0.23,0.23,0.23,0.65
AAPL,2023-02-14,0.22,0.22,0.23,0.23,0.23,0.65
AAPL,2023-02-15,0.22,0.23,0.23,0.24,0.24,0.69
AAPL,2023-02-16,0.23,0.23,0.24,0.23,0.23,0.72
AAPL,2023-02-17,0.22,0.22,0.23,0.23,0.23,0.62
AAPL,2023-02-21,0.21,0.22,0.22,0.21,0.21,0.62
AAPL,2023-02-22,0.21,0.21,0.21,0.21,0.21,0.53
AAPL,2023-02-23,0.21,0.21,0.21,0.22,0.22,0.5
AAPL,2023-02-24,0.2,0.2,0.21,0.21,0.21,0.58
AAPL,2023-02-27,0.21,0.21,0.21,0.21,0.21,0.47
AAPL,2023-02-28,0.2,0.21,0.21,0.21,0.21,0.53
AAPL,2023-03-01,0.2,0.2,0.21,0.2,0.2,0.58
AAPL,2023-03-02,0.19,0.2,0.2,0.2,0.2,0.55
AAPL,2023-03-03,0.21,0.21,0.21,0.22,0.22,0.75
AAPL,2023-03-06,0.23,0.23,0.24,0.23,0.23,0.93
AAPL,2023-03-07,0.23,0.23,0.23,0.22,0.22,0.59
AAPL,2023-03-08,0.22,0.22,0.23,0.23,0.23,0.49
AAPL,2023-03-09,0.23,0.23,0.22,0.22,0.22,0.56
AAPL,2023-03-10,0.21,0.21,0.22,0.21,0.21,0.72
AAPL,2023-03-13,0.21,0.22,0.22,0.22,0.22,0.9
AAPL,2023-03-14,0.22,0.22,0.22,0.23,0.23,0.78
AAPL,2023-03-15,0.22,0.22,0.22,0.23,0.23,0.82
AAPL,2023-03-16,0.22,0.23,0.23,0.24,0.24,0.81
AAPL,2023-03-17,0.24,0.23,0.24,0.24,0.24,1.0
AAPL,2023-03-20,0.23,0.24,0.24,0.25,0.25,0.78
AAPL,2023-03-21,0.24,0.24,0.25,0.25,0.25,0.78
AAPL,2023-03-22,0.25,0.25,0.25,0.25,0.25,0.8
AAPL,2023-03-23,0.24,0.25,0.25,0.25,0.25,0.71
AAPL,2023-03-24,0.25,0.25,0.25,0.26,0.26,0.62
AAPL,2023-03-27,0.25,0.25,0.25,0.25,0.25,0.55
AAPL,2023-03-28,0.24,0.24,0.25,0.25,0.25,0.48
AAPL,2023-03-29,0.25,0.25,0.26,0.26,0.26,0.54
AAPL,2023-03-30,0.25,0.25,0.27,0.26,0.26,0.52
AAPL,2023-03-31,0.26,0.26,0.27,0.27,0.27,0.73
AAPL,2023-04-03,0.26,0.27,0.28,0.28,0.28,0.6
AAPL,2023-04-04,0.27,0.27,0.28,0.27,0.27,0.48
AAPL,2023-04-05,0.27,0.26,0.27,0.27,0.27,0.54
AAPL,2023-04-06,0.26,0.26,0.27,0.27,0.27,0.47
AAPL,2023-04-10,0.25,0.25,0.26,0.26,0.26,0.5
AAPL,2023-04-11,0.26,0.25,0.26,0.26,0.26,0.49
AAPL,2023-04-12,0.25,0.25,0.26,0.25,0.25,0.52
AAPL,2023-04-13,0.25,0.27,0.27,0.27,0.27,0.72
AAPL,2023-04-14,0.27,0.27,0.27,0.27,0.27,0.51
AAPL,2023-04-17,0.27,0.27,0.28,0.27,0.27,0.43
AAPL,2023-04-18,0.27,0.27,0.28,0.28,0.28,0.52
AAPL,2023-04-19,0.27,0.28,0.28,0.28,0.28,0.5
AAPL,2023-04-20,0.27,0.27,0.28,0.28,0.28,0.55
AAPL,2023-04-21,0.27,0.27,0.28,0.27,0.27,0.61
AAPL,2023-04-24,0.27,0.27,0.27,0.27,0.27,0.43
AAPL,2023-04-25,0.27,0.27,0.27,0.27,0.27,0.51
AAPL,2023-04-26,0.26,0.26,0.27,0.27,0.27,0.47
AAPL,2023-04-27,0.27,0.28,0.28,0.28,0.28,0.68
AAPL,2023-04-28,0.28,0.28,0.29,0.29,0.29,0.58
AAPL,2023-05-01,0.28,0.28,0.29,0.29,0.29,0.55
AAPL,2023-05-02,0.28,0.28,0.29,0.29,0.29,0.5
AAPL,2023-05-03,0.28,0.28,0.29,0.28,0.28,0.69
AAPL,2023-05-04,0.27,0.27,0.28,0.28,0.28,0.86
AAPL,2023-05-05,0.29,0.3,0.3,0.3,0.3,1.0
MSFT,2023-02-07,0.6,0.63,0.63,0.64,0.64,0.53
MSFT,2023-02-08,0.65,0.66,0.65,0.64,0.64,0.57
MSFT,2023-02-09,0.65,0.65,0.64,0.63,0.63,0.44
MSFT,2023-02-10,0.61,0.61,0.63,0.63,0.62,0.25
MSFT,2023-02-13,0.63,0.65,0.65,0.66,0.65,0.46
MSFT,2023-02-14,0.65,0.65,0.66,0.66,0.66,0.38
MSFT,2023-02-15,0.63,0.64,0.65,0.65,0.65,0.29
MSFT,2023-02-16,0.62,0.62,0.63,0.62,0.62,0.3
MSFT,2023-02-17,0.6,0.6,0.61,0.61,0.61,0.3
MSFT,2023-02-21,0.58,0.58,0.6,0.59,0.59,0.28
MSFT,2023-02-22,0.58,0.58,0.59,0.58,0.58,0.22
MSFT,2023-02-23,0.59,0.59,0.59,0.6,0.6,0.29
MSFT,2023-02-24,0.57,0.57,0.58,0.58,0.58,0.25
MSFT,2023-02-27,0.58,0.57,0.59,0.58,0.58,0.2
MSFT,2023-02-28,0.56,0.57,0.59,0.58,0.58,0.22
MSFT,2023-03-01,0.57,0.57,0.58,0.57,0.57,0.27
MSFT,2023-03-02,0.56,0.57,0.57,0.58,0.58,0.24
MSFT,2023-03-03,0.57,0.58,0.6,0.6,0.6,0.31
MSFT,2023-03-06,0.59,0.6,0.61,0.6,0.6,0.24
MSFT,2023-03-07,0.59,0.59,0.6,0.59,0.59,0.21
MSFT,2023-03-08,0.58,0.58,0.59,0.59,0.59,0.16
MSFT,2023-03-09,0.59,0.6,0.6,0.59,0.59,0.26
MSFT,2023-03-10,0.57,0.57,0.58,0.57,0.57,0.28
MSFT,2023-03-13,0.56,0.59,0.57,0.59,0.59,0.34
MSFT,2023-03-14,0.59,0.6,0.61,0.62,0.62,0.34
MSFT,2023-03-15,0.6,0.62,0.62,0.63,0.63,0.48
MSFT,2023-03-16,0.62,0.66,0.64,0.67,0.67,0.57
MSFT,2023-03-17,0.67,0.68,0.69,0.69,0.69,0.74
MSFT,2023-03-20,0.66,0.66,0.66,0.66,0.66,0.45
MSFT,2023-03-21,0.66,0.65,0.66,0.66,0.66,0.35
MSFT,2023-03-22,0.65,0.67,0.67,0.66,0.66,0.35
MSFT,2023-03-23,0.67,0.67,0.68,0.68,0.68,0.37
MSFT,2023-03-24,0.66,0.67,0.68,0.69,0.69,0.28
MSFT,2023-03-27,0.68,0.67,0.68,0.67,0.67,0.27
MSFT,2023-03-28,0.66,0.66,0.67,0.67,0.67,0.21
MSFT,2023-03-29,0.67,0.67,0.69,0.69,0.69,0.25
MSFT,2023-03-30,0.69,0.68,0.71,0.7,0.7,0.25
MSFT,2023-03-31,0.69,0.7,0.71,0.72,0.72,0.33
MSFT,2023-04-03,0.7,0.7,0.71,0.71,0.71,0.24
MSFT,2023-04-04,0.7,0.71,0.72,0.71,0.71,0.25
MSFT,2023-04-05,0.69,0.69,0.71,0.7,0.7,0.21
MSFT,2023-04-06,0.68,0.71,0.71,0.73,0.73,0.3
MSFT,2023-04-10,0.71,0.7,0.72,0.72,0.72,0.22
MSFT,2023-04-11,0.69,0.69,0.71,0.7,0.7,0.27
MSFT,2023-04-12,0.69,0.69,0.71,0.7,0.7,0.27
MSFT,2023-04-13,0.69,0.7,0.71,0.72,0.72,0.24
MSFT,2023-04-14,0.7,0.7,0.71,0.71,0.71,0.2
MSFT,2023-04-17,0.71,0.71,0.72,0.72,0.72,0.23
MSFT,2023-04-18,0.71,0.71,0.73,0.72,0.72,0.19
MSFT,2023-04-19,0.69,0.7,0.72,0.72,0.72,0.16
MSFT,2023-04-20,0.69,0.7,0.72,0.71,0.71,0.23
MSFT,2023-04-21,0.69,0.69,0.71,0.71,0.71,0.21
MSFT,2023-04-24,0.68,0.69,0.7,0.69,0.69,0.26
MSFT,2023-04-25,0.67,0.67,0.68,0.67,0.67,0.47
MSFT,2023-04-26,0.73,0.74,0.75,0.74,0.74,0.68
MSFT,2023-04-27,0.73,0.76,0.76,0.78,0.78,0.48
MSFT,2023-04-28,0.76,0.77,0.79,0.79,0.79,0.37
MSFT,2023-05-01,0.77,0.77,0.79,0.78,0.78,0.2
MSFT,2023-05-02,0.77,0.77,0.79,0.78,0.78,0.26
MSFT,2023-05-03,0.77,0.77,0.79,0.78,0.78,0.22
MSFT,2023-05-04,0.77,0.77,0.79,0.78,0.78,0.22
MSFT,2023-05-05,0.76,0.78,0.79,0.8,0.8,0.28
NFLX,2023-02-07,0.95,0.97,0.97,0.99,0.99,0.04
NFLX,2023-02-08,0.96,0.98,0.99,1.0,1.0,0.04
NFLX,2023-02-09,1.0,1.0,1.0,0.98,0.98,0.05
NFLX,2023-02-10,0.95,0.96,0.95,0.93,0.93,0.05
NFLX,2023-02-13,0.92,0.95,0.94,0.97,0.97,0.05
NFLX,2023-02-14,0.95,0.96,0.97,0.98,0.98,0.02
NFLX,2023-02-15,0.94,0.96,0.97,0.98,0.98,0.01
NFLX,2023-02-16,0.94,0.96,0.96,0.94,0.94,0.03
NFLX,2023-02-17,0.91,0.91,0.93,0.93,0.93,0.03
NFLX,2023-02-21,0.9,0.9,0.91,0.89,0.89,0.03
NFLX,2023-02-22,0.88,0.89,0.89,0.88,0.88,0.02
NFLX,2023-02-23,0.85,0.85,0.83,0.84,0.84,0.12
NFLX,2023-02-24,0.81,0.82,0.83,0.82,0.82,0.05
NFLX,2023-02-27,0.83,0.85,0.85,0.84,0.84,0.04
NFLX,2023-02-28,0.83,0.84,0.85,0.84,0.84,0.01
NFLX,2023-03-01,0.82,0.83,0.82,0.81,0.81,0.02
NFLX,2023-03-02,0.78,0.79,0.81,0.8,0.8,0.02
NFLX,2023-03-03,0.8,0.8,0.81,0.81,0.81,0.04
NFLX,2023-03-06,0.8,0.82,0.82,0.8,0.8,0.03
NFLX,2023-03-07,0.79,0.79,0.8,0.79,0.79,0.02
NFLX,2023-03-08,0.78,0.78,0.79,0.8,0.8,0.01
NFLX,2023-03-09,0.79,0.78,0.75,0.75,0.75,0.05
NFLX,2023-03-10,0.74,0.74,0.73,0.73,0.73,0.03
NFLX,2023-03-13,0.7,0.74,0.72,0.74,0.74,0.04
NFLX,2023-03-14,0.73,0.73,0.74,0.74,0.74,0.04
NFLX,2023-03-15,0.72,0.76,0.75,0.77,0.77,0.07
NFLX,2023-03-16,0.76,0.8,0.78,0.8,0.8,0.06
NFLX,2023-03-17,0.78,0.78,0.77,0.77,0.77,0.05
NFLX,2023-03-20,0.74,0.77,0.76,0.78,0.78,0.03
NFLX,2023-03-21,0.77,0.77,0.78,0.78,0.78,0.02
NFLX,2023-03-22,0.77,0.76,0.75,0.74,0.74,0.03
NFLX,2023-03-23,0.76,0.82,0.79,0.83,0.83,0.14
NFLX,2023-03-24,0.82,0.85,0.85,0.86,0.86,0.11
NFLX,2023-03-27,0.84,0.87,0.86,0.86,0.86,0.07
NFLX,2023-03-28,0.84,0.86,0.85,0.84,0.84,0.04
NFLX,2023-03-29,0.84,0.86,0.87,0.87,0.87,0.04
NFLX,2023-03-30,0.89,0.89,0.9,0.9,0.9,0.05
NFLX,2023-03-31,0.89,0.9,0.91,0.92,0.92,0.03
NFLX,2023-04-03,0.89,0.91,0.92,0.93,0.93,0.02
NFLX,2023-04-04,0.92,0.92,0.93,0.93,0.93,0.01
NFLX,2023-04-05,0.9,0.9,0.91,0.91,0.91,0.02
NFLX,2023-04-06,0.88,0.88,0.89,0.9,0.9,0.02
NFLX,2023-04-10,0.87,0.88,0.9,0.9,0.9,0.0
NFLX,2023-04-11,0.9,0.91,0.91,0.9,0.9,0.02
NFLX,2023-04-12,0.89,0.89,0.88,0.87,0.87,0.01
NFLX,2023-04-13,0.89,0.9,0.92,0.93,0.93,0.05
NFLX,2023-04-14,0.9,0.9,0.91,0.9,0.9,0.03
NFLX,2023-04-17,0.88,0.88,0.87,0.88,0.88,0.04
NFLX,2023-04-18,0.87,0.87,0.89,0.88,0.88,0.17
NFLX,2023-04-19,0.83,0.83,0.83,0.84,0.84,0.21
NFLX,2023-04-20,0.82,0.85,0.84,0.85,0.85,0.08
NFLX,2023-04-21,0.83,0.84,0.85,0.86,0.86,0.04
NFLX,2023-04-24,0.85,0.86,0.87,0.86,0.86,0.03
NFLX,2023-04-25,0.84,0.84,0.85,0.84,0.84,0.03
NFLX,2023-04-26,0.82,0.83,0.85,0.84,0.84,0.02
NFLX,2023-04-27,0.83,0.84,0.84,0.85,0.85,0.03
NFLX,2023-04-28,0.83,0.85,0.86,0.87,0.87,0.02
NFLX,2023-05-01,0.85,0.85,0.84,0.85,0.85,0.03
NFLX,2023-05-02,0.83,0.83,0.83,0.82,0.82,0.02
NFLX,2023-05-03,0.81,0.83,0.83,0.83,0.83,0.03
NFLX,2023-05-04,0.81,0.82,0.84,0.83,0.83,0.01
NFLX,2023-05-05,0.83,0.82,0.84,0.84,0.84,0.01
GOOG,2023-02-07,0.05,0.07,0.05,0.07,0.07,0.34
GOOG,2023-02-08,0.05,0.05,0.04,0.04,0.04,0.78
GOOG,2023-02-09,0.04,0.04,0.02,0.02,0.02,1.0
GOOG,2023-02-10,0.02,0.02,0.02,0.02,0.02,0.51
GOOG,2023-02-13,0.02,0.02,0.02,0.02,0.02,0.44
GOOG,2023-02-14,0.02,0.02,0.01,0.02,0.02,0.44
GOOG,2023-02-15,0.02,0.03,0.02,0.03,0.03,0.38
GOOG,2023-02-16,0.02,0.03,0.02,0.02,0.02,0.36
GOOG,2023-02-17,0.02,0.02,0.02,0.02,0.02,0.31
GOOG,2023-02-21,0.01,0.01,0.01,0.01,0.01,0.28
GOOG,2023-02-22,0.01,0.01,0.01,0.01,0.01,0.3
GOOG,2023-02-23,0.01,0.01,0.0,0.01,0.01,0.33
GOOG,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.31
GOOG,2023-02-27,0.0,0.0,0.0,0.0,0.0,0.22
GOOG,2023-02-28,0.0,0.0,0.0,0.0,0.0,0.31
GOOG,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.26
GOOG,2023-03-02,0.0,0.01,0.0,0.01,0.01,0.23
GOOG,2023-03-03,0.01,0.01,0.01,0.02,0.02,0.3
GOOG,2023-03-06,0.02,0.02,0.02,0.02,0.02,0.28
GOOG,2023-03-07,0.02,0.02,0.02,0.02,0.02,0.24
GOOG,2023-03-08,0.02,0.02,0.02,0.02,0.02,0.25
GOOG,2023-03-09,0.02,0.02,0.01,0.01,0.01,0.24
GOOG,2023-03-10,0.01,0.01,0.01,0.01,0.01,0.33
GOOG,2023-03-13,0.0,0.01,0.0,0.01,0.01,0.32
GOOG,2023-03-14,0.01,0.02,0.01,0.02,0.02,0.33
GOOG,2023-03-15,0.01,0.03,0.02,0.03,0.03,0.39
GOOG,2023-03-16,0.02,0.04,0.03,0.04,0.04,0.57
GOOG,2023-03-17,0.04,0.05,0.04,0.05,0.05,0.81
GOOG,2023-03-20,0.04,0.04,0.04,0.05,0.05,0.26
GOOG,2023-03-21,0.04,0.06,0.05,0.06,0.06,0.34
GOOG,2023-03-22,0.06,0.06,0.06,0.05,0.05,0.33
GOOG,2023-03-23,0.06,0.06,0.06,0.06,0.06,0.32
GOOG,2023-03-24,0.06,0.06,0.06,0.06,0.06,0.25
GOOG,2023-03-27,0.06,0.05,0.05,0.05,0.05,0.25
GOOG,2023-03-28,0.05,0.05,0.04,0.04,0.04,0.24
GOOG,2023-03-29,0.05,0.04,0.04,0.05,0.05,0.26
GOOG,2023-03-30,0.04,0.04,0.04,0.04,0.04,0.25
GOOG,2023-03-31,0.04,0.05,0.05,0.05,0.05,0.28
GOOG,2023-04-03,0.05,0.05,0.05,0.06,0.06,0.2
GOOG,2023-04-04,0.05,0.06,0.06,0.06,0.06,0.19
GOOG,2023-04-05,0.06,0.06,0.06,0.06,0.06,0.21
GOOG,2023-04-06,0.06,0.07,0.06,0.07,0.07,0.35
GOOG,2023-04-10,0.06,0.06,0.06,0.06,0.06,0.19
GOOG,2023-04-11,0.06,0.06,0.06,0.06,0.06,0.18
GOOG,2023-04-12,0.06,0.06,0.06,0.06,0.06,0.22
GOOG,2023-04-13,0.06,0.06,0.06,0.07,0.07,0.21
GOOG,2023-04-14,0.06,0.07,0.07,0.07,0.07,0.2
GOOG,2023-04-17,0.06,0.06,0.06,0.06,0.06,0.29
GOOG,2023-04-18,0.06,0.06,0.06,0.06,0.06,0.16
GOOG,2023-04-19,0.05,0.05,0.05,0.06,0.06,0.15
GOOG,2023-04-20,0.05,0.06,0.06,0.06,0.06,0.22
GOOG,2023-04-21,0.06,0.06,0.06,0.06,0.06,0.22
GOOG,2023-04-24,0.06,0.06,0.06,0.06,0.06,0.21
GOOG,2023-04-25,0.06,0.06,0.06,0.05,0.05,0.32
GOOG,2023-04-26,0.06,0.06,0.05,0.05,0.05,0.38
GOOG,2023-04-27,0.06,0.07,0.06,0.07,0.07,0.39
GOOG,2023-04-28,0.06,0.06,0.06,0.07,0.07,0.23
GOOG,2023-05-01,0.06,0.07,0.07,0.07,0.07,0.2
GOOG,2023-05-02,0.06,0.06,0.06,0.06,0.06,0.19
GOOG,2023-05-03,0.06,0.06,0.06,0.06,0.06,0.16
GOOG,2023-05-04,0.06,0.06,0.06,0.06,0.06,0.19
GOOG,2023-05-05,0.06,0.06,0.06,0.06,0.06,0.2
